user_id,f0_
uid-1643908929560-70364,6841
uid-1640933173266-62250,5092
uid-1669068883090-66758,4958
uid-1690579202569-84105,4610
uid-1677526901488-41252,4522
uid-1630688693549-4809,4270
uid-1689993386093-43965,4061
uid-1676573006987-69327,3633
uid-1676688422398-45499,3571
uid-1689370618346-98282,3527
uid-1597024478431-83092,3510
uid-1590014911686-98381,3426
uid-1684694313592-24233,3309
uid-1687890549238-46913,3234
uid-1686179305121-90810,3223
uid-1688504361289-91464,3180
uid-1685729267690-84338,3151
uid-1689881801731-73274,3079
uid-1691961181583-94950,3009
uid-1687899145145-96195,2988
uid-1691343449775-70924,2975
uid-1684514946530-56884,2879
uid-1683048964870-36726,2623
uid-1685557750810-18867,2613
uid-1616540410292-62392,2581
uid-1689225608848-76814,2507
uid-1691542189303-91461,2477
uid-1616540407663-49276,2468
uid-1589989733087-39337,2462
uid-1675029191018-8707,2408
uid-1685136658935-81343,2388
uid-1689386809835-73792,2356
uid-1652296804270-28144,2353
uid-1681409666353-23828,2330
uid-1683160547599-94834,2325
uid-1680641516064-83566,2258
uid-1654558360220-20486,2253
uid-1619832231405-54808,2239
uid-1688427932257-62837,2210
uid-1688922372102-30952,2181
uid-1691393278001-59681,2170
uid-1664846811938-76302,2163
uid-1688780161401-16446,2163
uid-1684865180879-68868,2126
uid-1678056363517-46393,2112
uid-1672085178718-31609,2084
uid-1687984162486-88112,2059
uid-1680369932895-83273,2032
uid-1679614347716-73955,2023
uid-1683058181292-28113,2008
uid-1685308445656-94748,1977
uid-1664748929185-77116,1914
uid-1647636974910-24374,1912
uid-1688004377529-12235,1905
uid-1633394029908-16650,1868
uid-1687035905367-14377,1849
uid-1670881684509-59849,1849
uid-1692058147423-7031,1842
uid-1689738956549-94200,1800
uid-1682650166168-35801,1794
uid-1690946451833-69732,1789
uid-1690326028107-46164,1777
uid-1688949597870-89162,1777
uid-1691865387876-66640,1776
uid-1664485291411-2746,1736
uid-1660516659130-75486,1720
uid-1683059110863-41176,1720
uid-1671143849541-35335,1712
uid-1684849773671-91316,1706
uid-1663188728984-81315,1686
uid-1683046092402-66743,1669
uid-1684915102445-94606,1650
uid-1691421190990-24997,1635
uid-1692932680237-15211,1617
uid-1669590800035-17009,1615
uid-1685305986504-55858,1608
uid-1690563951159-57268,1590
uid-1688092906614-1701,1530
uid-1616956732862-55670,1529
uid-1679430569418-16539,1526
uid-1677280847212-30719,1493
uid-1616613258470-1889,1486
uid-1687886957055-73284,1479
uid-1678227017729-81527,1466
uid-1691699872499-96919,1466
uid-1669950011463-27549,1430
uid-1677200475602-7641,1428
uid-1662782000002-69685,1426
uid-1689977633484-38895,1419
uid-1686336920902-65885,1403
uid-1663722301116-79359,1399
uid-1663017241892-42068,1397
uid-1675020586374-67083,1395
uid-1677093711791-63884,1380
uid-1679442929334-16229,1366
uid-1605236663848-18836,1362
uid-1661722854866-16759,1362
uid-1679426982164-77856,1358
uid-1691291418346-53755,1353
uid-1690652215225-22998,1350
uid-1663783134311-47314,1347
uid-1674512262923-29322,1341
uid-1666728142052-67254,1330
uid-1691304444368-86052,1317
uid-1689971679979-92579,1309
uid-1686253080859-50734,1302
uid-1688069531745-58626,1279
uid-1656377837218-45587,1253
uid-1658513849934-51270,1235
uid-1683142553788-21623,1231
uid-1688096780034-83361,1229
uid-1604872056662-82416,1227
uid-1659908874417-6389,1227
uid-1656556963867-99005,1227
uid-1688047378991-93658,1222
uid-1632866383165-66923,1213
uid-1680369891785-65955,1199
uid-1596682289194-19599,1187
uid-1690742946211-99147,1183
uid-1690300255506-3470,1178
uid-1689981510961-43352,1168
uid-1673817164018-20852,1165
uid-1692045717162-77006,1151
uid-1690939789339-75874,1150
uid-1689371895610-11825,1150
uid-1667422827100-68357,1134
uid-1691271869693-10784,1132
uid-1690423869179-10341,1132
uid-1692332181144-6733,1128
uid-1637778024614-41928,1121
uid-1636259912728-8696,1120
uid-1692258015978-34632,1119
uid-1616539133497-34634,1116
uid-1673469272396-97935,1109
uid-1675895837918-57691,1106
uid-1661963593156-38638,1095
uid-1654384348397-99540,1094
uid-1692578356212-49840,1088
uid-1684445287276-91757,1088
uid-1691286460208-92899,1084
uid-1692738746295-38182,1082
uid-1692810789247-94144,1079
uid-1616540348843-7517,1077
uid-1691039936124-45046,1065
uid-1685034926826-91501,1054
uid-1690927736091-66114,1053
uid-1691614016096-49080,1050
uid-1691500685395-51251,1048
uid-1691129278328-35683,1039
uid-1691563031787-74144,1037
uid-1674933425651-39099,1036
uid-1690226003774-9522,1033
uid-1692652910744-68421,1031
uid-1690229720303-74633,1026
uid-1680489263801-75730,1024
uid-1691554011967-71173,1021
uid-1684949398766-37952,1019
uid-1691822980713-93153,1019
uid-1669402055017-75658,1014
uid-1689216819188-43456,1011
uid-1691460391863-65552,1005
uid-1646928263739-64858,997
uid-1691673649835-2243,994
uid-1678237728825-19154,993
uid-1677806011565-98517,981
uid-1691276144231-38006,978
uid-1653933145441-34763,973
uid-1691617182427-89261,967
uid-1682189618437-50078,967
uid-1689993405708-2944,956
uid-1692570049359-59552,956
uid-1691951056520-89830,948
uid-1690394667159-63008,945
uid-1692049008685-81015,943
uid-1689455072716-94766,943
uid-1691702851087-71941,940
uid-1690184386331-601,940
uid-1692761881595-31634,939
uid-1690565534390-82769,938
uid-1682959206888-83050,935
uid-1692770791072-38676,932
uid-1673991150686-32409,925
uid-1669509431906-92325,924
uid-1691476625723-27044,921
uid-1692106239508-91067,918
uid-1692511817495-45128,917
uid-1691777398812-47430,916
uid-1616551670102-66002,909
uid-1674950468107-19068,907
uid-1687326991989-5609,906
uid-1692730459105-75926,901
uid-1616545670388-35491,898
uid-1684290086896-79668,897
uid-1688245146849-57293,896
