"@timestamp","_id","_index","_score","_type","ami_id","ami_id.keyword",az,"az.keyword",caller,"caller.keyword",code,"ec2_instance_id","ec2_instance_id.keyword","ec2_instance_type","ec2_instance_type.keyword","edge_region","edge_region.keyword",handler,"handler.keyword",hostname,"hostname.keyword",latency,"latency_ms",level,"level.keyword",method,"method.keyword",msg,"msg.keyword","private_ip","private_ip.keyword",referer,"referer.keyword","remote_addr","remote_addr.keyword","seg_session_device","seg_session_device.keyword","seg_session_id","seg_session_id.keyword","seg_session_location","seg_session_location.keyword","seg_site","seg_site.keyword","seg_user","seg_user.keyword","serve_region","serve_region.keyword",status,"status.keyword",ts,"user_agent","user_agent.keyword","vpc_id","vpc_id.keyword",xforwardedfor,"xforwardedfor.keyword",xrequestId,"xrequestId.keyword"
"Oct 18, 2024 @ 12:04:07.267",1SFVnpIB8sZ7ZejvbCHe,"wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0aa6eddfa74f5dd41","i-0aa6eddfa74f5dd41","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-30-208.eu-west-2.compute.internal","ip-10-210-30-208.eu-west-2.compute.internal","0.031",30,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=silv&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=silv&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.30.208","10.210.30.208","(empty)","(empty)","10.210.203.160:44150","10.210.203.160:44150","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","27ebbf91-78cf-4e80-8ff4-459ec911ca15","27ebbf91-78cf-4e80-8ff4-459ec911ca15"
"Oct 18, 2024 @ 12:04:06.835",0FFVnpIBNsj2yTsAc5Wb,"wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0a33cac42b9c1b966","i-0a33cac42b9c1b966","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-25-207.eu-west-2.compute.internal","ip-10-210-25-207.eu-west-2.compute.internal","0.037",36,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=sil&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=sil&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.25.207","10.210.25.207","(empty)","(empty)","10.210.203.160:38388","10.210.203.160:38388","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","7b7b115e-d1b2-4a7f-adf9-abd901663a04","7b7b115e-d1b2-4a7f-adf9-abd901663a04"
"Oct 18, 2024 @ 12:04:04.912",tlFVnpIBNsj2yTsAb5Jp,"wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0a33cac42b9c1b966","i-0a33cac42b9c1b966","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-25-207.eu-west-2.compute.internal","ip-10-210-25-207.eu-west-2.compute.internal","0.021",21,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=Aberdeen&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=Aberdeen&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.25.207","10.210.25.207","(empty)","(empty)","10.210.203.160:38380","10.210.203.160:38380","{""source"":""browser"",""os"":{""familyCode"":""ios""},""device"":{""isMobile"":true,""deviceType"":""mobile""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""browser"",""os"":{""familyCode"":""ios""},""device"":{""isMobile"":true,""deviceType"":""mobile""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","ad53d2e3-060f-455d-a731-aa0577cc3599","ad53d2e3-060f-455d-a731-aa0577cc3599"
"Oct 18, 2024 @ 12:04:04.872",rCFVnpIB8sZ7ZejvbCDe,"wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0661aa6da371097ce","i-0661aa6da371097ce","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-19-47.eu-west-2.compute.internal","ip-10-210-19-47.eu-west-2.compute.internal","0.037",36,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=advent+calenders&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=advent+calenders&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.19.47","10.210.19.47","(empty)","(empty)","10.210.203.160:42368","10.210.203.160:42368","{""source"":""browser"",""os"":{""familyCode"":""windows""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""browser"",""os"":{""familyCode"":""windows""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","efbb0d53-bcd8-41e1-97a1-70bd2c50174b","efbb0d53-bcd8-41e1-97a1-70bd2c50174b"
"Oct 18, 2024 @ 12:04:01.525","WdFVnpIBG_YKRcpqVlbB","wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0a33cac42b9c1b966","i-0a33cac42b9c1b966","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-25-207.eu-west-2.compute.internal","ip-10-210-25-207.eu-west-2.compute.internal","0.024",23,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wales&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wales&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.25.207","10.210.25.207","(empty)","(empty)","10.210.203.204:21198","10.210.203.204:21198","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","0314a0fa-ad77-4ac8-81ae-fc261cc05b61","0314a0fa-ad77-4ac8-81ae-fc261cc05b61"
"Oct 18, 2024 @ 12:04:00.209","V9FVnpIBG_YKRcpqXFof","wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0aa6eddfa74f5dd41","i-0aa6eddfa74f5dd41","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-30-208.eu-west-2.compute.internal","ip-10-210-30-208.eu-west-2.compute.internal","0.025",24,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wales&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wales&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.30.208","10.210.30.208","(empty)","(empty)","10.210.203.204:8130","10.210.203.204:8130","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","a071e229-ccdc-478d-8f98-8306c5e10c47","a071e229-ccdc-478d-8f98-8306c5e10c47"
"Oct 18, 2024 @ 12:04:00.067",MCFVnpIB8sZ7ZejvSRFD,"wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0a33cac42b9c1b966","i-0a33cac42b9c1b966","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-25-207.eu-west-2.compute.internal","ip-10-210-25-207.eu-west-2.compute.internal","0.037",36,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wale&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wale&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.25.207","10.210.25.207","(empty)","(empty)","10.210.203.204:21224","10.210.203.204:21224","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","6ac3fb06-a59c-4765-8c21-9a90e05f462a","6ac3fb06-a59c-4765-8c21-9a90e05f462a"
"Oct 18, 2024 @ 12:03:59.717","z9FVnpIBG_YKRcpqVlTB","wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0661aa6da371097ce","i-0661aa6da371097ce","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-19-47.eu-west-2.compute.internal","ip-10-210-19-47.eu-west-2.compute.internal","0.033",33,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wal&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=wal&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.19.47","10.210.19.47","(empty)","(empty)","10.210.203.204:62024","10.210.203.204:62024","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""app"",""os"":{""familyCode"":""android""},""device"":{""isMobile"":false,""deviceType"":""desktop""},""browser"":{""isBrowser"":false,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","a553a0dc-1e2a-4cba-9353-f6022b25e1b5","a553a0dc-1e2a-4cba-9353-f6022b25e1b5"
"Oct 18, 2024 @ 12:03:56.164",NCFVnpIB8sZ7ZejvShN9,"wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0661aa6da371097ce","i-0661aa6da371097ce","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-19-47.eu-west-2.compute.internal","ip-10-210-19-47.eu-west-2.compute.internal","0.031",31,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=Corner+sofa&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=Corner+sofa&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.19.47","10.210.19.47","(empty)","(empty)","10.210.203.160:60152","10.210.203.160:60152","{""source"":""browser"",""os"":{""familyCode"":""ios""},""device"":{""isMobile"":true,""deviceType"":""mobile""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""browser"",""os"":{""familyCode"":""ios""},""device"":{""isMobile"":true,""deviceType"":""mobile""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","9f2a2916-2eb1-4c7a-ab01-36226b7791ed","9f2a2916-2eb1-4c7a-ab01-36226b7791ed"
"Oct 18, 2024 @ 12:03:53.975","s9FVnpIBG_YKRcpqNDa6","wingman-2024.10.18","-","_doc","ami-02188dc84cae229b5","ami-02188dc84cae229b5","eu-west-2c","eu-west-2c","transport/mw_logger.go:114","transport/mw_logger.go:114",200,"i-0661aa6da371097ce","i-0661aa6da371097ce","m6a.xlarge","m6a.xlarge","eu-west-2","eu-west-2",autosuggest,autosuggest,"ip-10-210-19-47.eu-west-2.compute.internal","ip-10-210-19-47.eu-west-2.compute.internal","0.038",38,info,info,GET,GET,"/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=Afternoon+tea&spellcheck=true&topQueries.count=10&variants=false&version=V2","/4fd80b8d3119076b08848f2d2f2f082d/ss-unbxd-prod-wowcher-en47171696835046/autosuggest?&inFields.count=0&keywordSuggestions.count=10&popularProducts.count=0&promotedSuggestions.count=10&q=Afternoon+tea&spellcheck=true&topQueries.count=10&variants=false&version=V2","10.210.19.47","10.210.19.47","(empty)","(empty)","10.210.203.160:42364","10.210.203.160:42364","{""source"":""browser"",""os"":{""familyCode"":""ios""},""device"":{""isMobile"":true,""deviceType"":""mobile""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}","{""source"":""browser"",""os"":{""familyCode"":""ios""},""device"":{""isMobile"":true,""deviceType"":""mobile""},""browser"":{""isBrowser"":true,""name"":"""",""version"":""""},""crawler"":{""isCrawler"":false,""category"":""""}}",unknown,unknown,"{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","{""geo"":{""continent"":""Europe"",""country"":""Ireland"",""city"":""Dublin"",""timezoneName"":""Europe/Dublin"",""subdivisions"":[""Leinster"",""Dublin City""]},""coord"":{""lat"":""53.34980"",""long"":""-6.26031""},""context"":{""from"":""cache"",""isEU"":false}}","ss-unbxd-prod-wowcher-en47171696835046","ss-unbxd-prod-wowcher-en47171696835046",unknown,unknown,unknown,unknown,OK,OK,"1,729,233,280","ReactorNetty/1.0.38","ReactorNetty/1.0.38","vpc-0a82a51b677666180","vpc-0a82a51b677666180","18.200.70.93","18.200.70.93","f0704984-5de7-4f4f-97b1-5cb3a65b504f","f0704984-5de7-4f4f-97b1-5cb3a65b504f"
